cuadro;V1;V2;V3;V4;V5;;;;;;;
1;DESCRIPCIÓN:;Agenda impositiva;;;;;;;;;;
1;SECCIÓN:;Impuestos Provinciales;;;;;;;;;;
1;DETALLE:;Catamarca. Ingresos brutos. Alícuotas. Período 2022;Alícuotas;;;Fuente;;;;;;
2;Agricultura, ganadera, caza y servicios de apoyo;Ingresos Brutos Mensuales;Hasta $54.250.000;Más de $54.250.000 y menos de $449.500.000;Más de $449.500.000;;;;;;;
2;11111;Cultivo de arroz;0,75%;0,75%;0,75%;;;;;;;
2;11112;Cultivo de trigo;0,75%;0,75%;0,75%;;;;;;;
2;11119;Cultivo de cereales n.c.p., excepto los de uso forrajero;0,00%;0,00%;0,00%;;;;;;;
2;11121;Cultivo de maíz;0,75%;0,75%;0,75%;;;;;;;
2;11129;Cultivo de cereales de uso forrajero n.c.p.;0,75%;0,75%;0,75%;;;;;;;
2;11130;Cultivo de pastos de uso forrajero;0,00%;0,00%;0,00%;;;;;;;
2;11211;Cultivo de soja;0,75%;0,75%;0,75%;;;;;;;
2;11291;Cultivo de girasol;0,75%;0,75%;0,75%;;;;;;;
2;11299;Cultivo de oleaginosas n.c.p. excepto soja y girasol;0,75%;0,75%;0,75%;;;;;;;
2;11310;Cultivo de papa, batata y mandioca;0,75%;0,75%;0,75%;;;;;;;
2;11321;Cultivo de tomate;0,00%;0,00%;0,00%;;;;;;;
2;11329;Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p.;0,00%;0,00%;0,00%;;;;;;;
2;11331;Cultivo de hortalizas de hoja y de otras hortalizas frescas;0,00%;0,00%;0,00%;;;;;;;
2;11341;Cultivo de legumbres frescas;0,00%;0,00%;0,00%;;;;;;;
2;11342;Cultivo de legumbres secas;0,00%;0,00%;0,00%;;;;;;;
2;11400;Cultivo de tabaco;0,00%;0,00%;0,00%;;;;;;;
2;11501;Cultivo de algodón;0,00%;0,00%;0,00%;;;;;;;
2;11509;Cultivo de plantas para la obtención de fibras n.c.p.;0,75%;0,75%;0,75%;;;;;;;
2;11911;Cultivo de flores;0,75%;0,75%;0,75%;;;;;;;
2;11912;Cultivo de plantas ornamentales;0,75%;0,75%;0,75%;;;;;;;
